đã: [4.86764644930492E-08;14] = 0.000140048675977728

**********************************************************************
từng: [1.7366266346645E-07;14] = 0.00014017366092684
tụng: [1.14378965159046E-07;14] = 0.000140114377821369
ngủ: [1.52159433679711E-05;11] = 0.000125215791208537
tổng: [3.69744714023633E-07;14] = 0.000140369741016577
năng: [1.18910897382478E-07;13.76] = 0.000137718909708274
táng: [4.59759409483188E-08;14] = 0.000140045975481189
tặng: [1.88254157465879E-07;14] = 0.000140188252274924
tưng: [4.59759404451713E-08;14] = 0.000140045975480686

**********************************************************************
đường: [1.63281802566785E-07;11] = 0.000110163280169749
động: [8.89209338220043E-06;14] = 0.000148892004461267
đánh: [5.40198900666846E-07;11] = 0.000110540193498678
ngụ: [1.79905719675945E-06;11] = 0.000111799039206187
đặng: [2.06351463085714E-07;14] = 0.000140206349399571
những: [2.47083691233577E-07;11] = 0.000110247081220397
ứng: [2.11462407138795E-07;11] = 0.000110211460292515
đang: [9.11214855069788E-08;11.76] = 0.000117691120574292
nhưng: [6.60712541691151E-08;11] = 0.000110066070593457
đến: [5.10590875254168E-08;11] = 0.000110051058576935
đồng: [7.61068543039936E-08;14] = 0.000140076106093235
sừng: [4.307411422119E-08;11.17] = 0.00011174307368348
ông: [3.30555796529514E-08;11] = 0.000110033055249097
ngưng: [2.50649311227825E-08;13] = 0.000130025064680473
đèn: [1.90484768264839E-08;11] = 0.000110019048286342
đứng: [3.60872402578819E-08;14] = 0.000140036086879386
ngà: [2.40417794422699E-08;11] = 0.000110024041539024
gắn: [1.90331813488562E-08;11] = 0.000110019032991017
giống: [2.80692834032516E-08;11] = 0.00011002806900271

**********************************************************************
